#table for dust cooling
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#columns: ngas (cm-3), Tgas (K), cooling (erg/cm3/s) 
         30 ,          30
 -0.18620690E+001  0.65517241E+001 -0.26325694E+002
 -0.18620690E+001  0.67931034E+001 -0.25963625E+002
 -0.18620690E+001  0.70344828E+001 -0.25601555E+002
 -0.18620690E+001  0.72758621E+001 -0.25239486E+002
 -0.18620690E+001  0.75172414E+001 -0.24877417E+002
 -0.18620690E+001  0.77586207E+001 -0.24515348E+002
 -0.18620690E+001  0.80000000E+001 -0.24153279E+002
 
 -0.14482759E+001  0.10000000E+001 -0.40000000E+002
 -0.14482759E+001  0.12413793E+001 -0.33891203E+002
 -0.14482759E+001  0.14827586E+001 -0.33294904E+002
 -0.14482759E+001  0.17241379E+001 -0.32839722E+002
 -0.14482759E+001  0.19655172E+001 -0.32432058E+002
 -0.14482759E+001  0.22068966E+001 -0.32045846E+002
 -0.14482759E+001  0.24482759E+001 -0.31670510E+002
 -0.14482759E+001  0.26896552E+001 -0.31301010E+002
 -0.14482759E+001  0.29310345E+001 -0.30934735E+002
 -0.14482759E+001  0.31724138E+001 -0.30570272E+002
 -0.14482759E+001  0.34137931E+001 -0.30206836E+002
 -0.14482759E+001  0.36551724E+001 -0.29843984E+002
 -0.14482759E+001  0.38965517E+001 -0.29481467E+002
 -0.14482759E+001  0.41379310E+001 -0.29119141E+002
 -0.14482759E+001  0.43793103E+001 -0.28756925E+002
 -0.14482759E+001  0.46206897E+001 -0.28394772E+002
 -0.14482759E+001  0.48620690E+001 -0.28032654E+002
 -0.14482759E+001  0.51034483E+001 -0.27670558E+002
 -0.14482759E+001  0.53448276E+001 -0.27308473E+002
 -0.14482759E+001  0.55862069E+001 -0.26946395E+002
 -0.14482759E+001  0.58275862E+001 -0.26584321E+002
 -0.14482759E+001  0.60689655E+001 -0.26222249E+002
 -0.14482759E+001  0.63103448E+001 -0.25860178E+002
 -0.14482759E+001  0.65517241E+001 -0.25498108E+002
 -0.14482759E+001  0.67931034E+001 -0.25136038E+002
 -0.14482759E+001  0.70344828E+001 -0.24773969E+002
 -0.14482759E+001  0.72758621E+001 -0.24411900E+002
 -0.14482759E+001  0.75172414E+001 -0.24049831E+002
 -0.14482759E+001  0.77586207E+001 -0.23687762E+002
 -0.14482759E+001  0.80000000E+001 -0.23325693E+002
 
 -0.10344828E+001  0.10000000E+001 -0.40000000E+002
 -0.10344828E+001  0.12413793E+001 -0.33063616E+002
 -0.10344828E+001  0.14827586E+001 -0.32467317E+002
 -0.10344828E+001  0.17241379E+001 -0.32012135E+002
 -0.10344828E+001  0.19655172E+001 -0.31604472E+002
 -0.10344828E+001  0.22068966E+001 -0.31218259E+002
 -0.10344828E+001  0.24482759E+001 -0.30842924E+002
 -0.10344828E+001  0.26896552E+001 -0.30473424E+002
 -0.10344828E+001  0.29310345E+001 -0.30107149E+002
 -0.10344828E+001  0.31724138E+001 -0.29742686E+002
 -0.10344828E+001  0.34137931E+001 -0.29379250E+002
 -0.10344828E+001  0.36551724E+001 -0.29016398E+002
 -0.10344828E+001  0.38965517E+001 -0.28653881E+002
 -0.10344828E+001  0.41379310E+001 -0.28291555E+002
 -0.10344828E+001  0.43793103E+001 -0.27929339E+002
 -0.10344828E+001  0.46206897E+001 -0.27567186E+002
 -0.10344828E+001  0.48620690E+001 -0.27205069E+002
 -0.10344828E+001  0.51034483E+001 -0.26842972E+002
 -0.10344828E+001  0.53448276E+001 -0.26480887E+002
 -0.10344828E+001  0.55862069E+001 -0.26118809E+002
 -0.10344828E+001  0.58275862E+001 -0.25756735E+002
 -0.10344828E+001  0.60689655E+001 -0.25394663E+002
 -0.10344828E+001  0.63103448E+001 -0.25032592E+002
 -0.10344828E+001  0.65517241E+001 -0.24670522E+002
 -0.10344828E+001  0.67931034E+001 -0.24308452E+002
 -0.10344828E+001  0.70344828E+001 -0.23946383E+002
 -0.10344828E+001  0.72758621E+001 -0.23584314E+002
 -0.10344828E+001  0.75172414E+001 -0.23222245E+002
 -0.10344828E+001  0.77586207E+001 -0.22860176E+002
 -0.10344828E+001  0.80000000E+001 -0.22498106E+002
 
 -0.62068966E+000  0.10000000E+001 -0.40000000E+002
 -0.62068966E+000  0.12413793E+001 -0.32236030E+002
 -0.62068966E+000  0.14827586E+001 -0.31639731E+002
 -0.62068966E+000  0.17241379E+001 -0.31184549E+002
 -0.62068966E+000  0.19655172E+001 -0.30776886E+002
 -0.62068966E+000  0.22068966E+001 -0.30390673E+002
 -0.62068966E+000  0.24482759E+001 -0.30015338E+002
 -0.62068966E+000  0.26896552E+001 -0.29645838E+002
 -0.62068966E+000  0.29310345E+001 -0.29279563E+002
 -0.62068966E+000  0.31724138E+001 -0.28915100E+002
 -0.62068966E+000  0.34137931E+001 -0.28551664E+002
 -0.62068966E+000  0.36551724E+001 -0.28188812E+002
 -0.62068966E+000  0.38965517E+001 -0.27826295E+002
 -0.62068966E+000  0.41379310E+001 -0.27463969E+002
 -0.62068966E+000  0.43793103E+001 -0.27101753E+002
 -0.62068966E+000  0.46206897E+001 -0.26739600E+002
 -0.62068966E+000  0.48620690E+001 -0.26377483E+002
 -0.62068966E+000  0.51034483E+001 -0.26015387E+002
 -0.62068966E+000  0.53448276E+001 -0.25653302E+002
 -0.62068966E+000  0.55862069E+001 -0.25291224E+002
 -0.62068966E+000  0.58275862E+001 -0.24929150E+002
 -0.62068966E+000  0.60689655E+001 -0.24567077E+002
 -0.62068966E+000  0.63103448E+001 -0.24205007E+002
 -0.62068966E+000  0.65517241E+001 -0.23842936E+002
 -0.62068966E+000  0.67931034E+001 -0.23480866E+002
 -0.62068966E+000  0.70344828E+001 -0.23118797E+002
 -0.62068966E+000  0.72758621E+001 -0.22756728E+002
 -0.62068966E+000  0.75172414E+001 -0.22394658E+002
 -0.62068966E+000  0.77586207E+001 -0.22032589E+002
 -0.62068966E+000  0.80000000E+001 -0.21670520E+002
 
 -0.20689655E+000  0.10000000E+001 -0.40000000E+002
 -0.20689655E+000  0.12413793E+001 -0.31408444E+002
 -0.20689655E+000  0.14827586E+001 -0.30812145E+002
 -0.20689655E+000  0.17241379E+001 -0.30356963E+002
