#             Z            ion           name        E(cm-1)           E(K)          E(eV)            pqn
             25             18          MnXIX     10620000.0   1.517375e+07   1.316678e+03              2
             25             19           MnXX     11590000.0   1.655968e+07   1.436940e+03              2
             25             20          MnXXI     12410000.0   1.773128e+07   1.538604e+03              2
             25             21         MnXXII     13260000.0   1.894576e+07   1.643988e+03              2
             25             22        MnXXIII     14420000.0   2.060315e+07   1.787806e+03              2
             25             23         MnXXIV     15162000.0   2.166331e+07   1.879800e+03              2
             25             24          MnXXV     65660000.0   9.381435e+07   8.140592e+03              1
             25             25         MnXXVI     69137400.0   9.878283e+07   8.571724e+03              1
             26              1           FeII        63737.0   9.106679e+04   7.902177e+00              4
             26              2          FeIII       130563.0   1.865471e+05   1.618733e+01              4
             26              3           FeIV       247220.0   3.532255e+05   3.065058e+01              3
             26              4            FeV       442000.0   6.315252e+05   5.479960e+01              3
             26              5           FeVI       605000.0   8.644179e+05   7.500850e+01              3
             26              6          FeVII       799000.0   1.141603e+06   9.906082e+01              3
             26              7         FeVIII      1008000.0   1.440220e+06   1.249728e+02              3
             26              8           FeIX      1218380.0   1.740809e+06   1.510560e+02              3
             26              9            FeX      1884000.0   2.691840e+06   2.335802e+02              3
             26             10           FeXI      2114000.0   3.020462e+06   2.620958e+02              3
             26             11          FeXII      2341000.0   3.344797e+06   2.902395e+02              3
             26             12         FeXIII      2668000.0   3.812012e+06   3.307813e+02              3
             26             13          FeXIV      2912000.0   4.160636e+06   3.610327e+02              3
             26             14           FeXV      3163000.0   4.519263e+06   3.921519e+02              3
             26             15          FeXVI      3686000.0   5.266520e+06   4.569940e+02              3
             26             16         FeXVII      3946280.0   5.638405e+06   4.892637e+02              3
             26             17        FeXVIII     10180000.0   1.454508e+07   1.262127e+03              2
             26             18          FeXIX     10985000.0   1.569526e+07   1.361931e+03              2
             26             19           FeXX     11850000.0   1.693116e+07   1.469175e+03              2
             26             20          FeXXI     12708000.0   1.815706e+07   1.575551e+03              2
             26             21         FeXXII     13620000.0   1.946012e+07   1.688621e+03              2
             26             22        FeXXIII     14510000.0   2.073174e+07   1.798964e+03              2
             26             23         FeXXIV     15797000.0   2.257060e+07   1.958528e+03              2
             26             24          FeXXV     16500000.0   2.357504e+07   2.045687e+03              2
             26             25         FeXXVI     71203000.0   1.017341e+08   8.827819e+03              1
             26             26        FeXXVII     74829600.0   1.069158e+08   9.277449e+03              1
